,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 250 g",130,35  96,0  3,1  1,26,6,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
1,"Fibre One - Lemon Drizzle, 1 Bar",87,12  64,3  32,1  4,8,5,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
2,"chicken chilli, 700 serving(s)",346,34  43,6  16,33  41,12,13,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
3,"Kroger - Rice Cake, 2.5 cake",100,20  79,1  11,3  10,0,0,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
4,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
5,"emporium - soft cheese lighter, 50 g",77,2  9,6  65,5  26,0,0,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
6,"Iceland - Mixed Frozen Veg, 200 g",108,17  62,2  13,7  25,6,7,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
7,"chicken thigh stir fry, 200 serving(s)",241,12  21,7  25,32  54,5,2,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
8,"Apples - Raw, with skin, 250 g",130,35  96,0  3,1  1,26,6,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
9,"Maris Piper - Potato, Raw, 400 gm",288,68  89,0  1,7  10,0,5,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
10,"My Protein - Impact Whey Salted Caramel, 25 g",101,1  5,2  16,20  79,1,0,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
11,"The Cheese Emporium - Mature Lighter Cheese, 45 g",144,1  3,10  63,12  34,1,1,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
12,"Eggs - Whole, raw, 4 medium",259,1  2,17  63,22  35,1,0,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-04
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 250 g",130,35  96,0  3,1  1,26,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-05
1,"chicken chilli, 700 serving(s)",346,34  43,6  16,33  41,12,13,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-05
2,"Ryvita - Thins - Sweet Chilli, 4 Thin (8g)",116,21  72,2  16,4  12,3,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-05
3,"Iceland - Mixed Frozen Veg, 200 g",108,17  62,2  13,7  25,6,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-05
4,"chicken thigh stir fry, 200 serving(s)",241,12  21,7  25,32  54,5,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-05
5,"Maris Piper - Potato, Raw, 500 gm",360,85  89,1  1,9  10,0,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-05
6,"The Cheese Emporium - Mature Lighter Cheese, 45 g",144,1  3,10  63,12  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-05
7,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-05
8,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-05
9,"four seasons - four berry medley, 200 gram",75,11  71,1  18,2  11,11,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-05
10,"Fibre One - Lemon Drizzle, 1 Bar",87,12  64,3  32,1  4,8,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-01-05
