,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 200 g",104,28  96,0  3,1  1,21,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-05
1,"Kellogg's - Biscuit Moments Chocolate, 2 pack (2 biscotti)",196,36  72,5  22,3  6,14,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-05
2,"chicken chilli, 1300 serving(s)",648,71  44,5  7,79  49,32,21,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-05
3,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-05
4,"Flora Light - New, 30 g",84,1  4,9  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-05
5,"Cadbury - bourneville classic dark chocolate , 12.5 gram",66,8  47,4  50,1  3,0,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-05
6,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-05
7,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-05
8,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-05
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Warburton - Wholemeal Medium (400g), 5 slice",275,45  69,4  12,13  19,3,8,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-06
1,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-06
2,"breast mince, 300 serving(s)",242,10  17,2  9,44  74,4,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-06
3,"Mcvities - Baked Cheddars Crispy Bacon Flavour (40 Bics, 150g), 6 biscuit",120,11  38,7  54,2  8,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-06
4,"Kroger - Rice Cake, 3 cake",120,24  79,2  11,3  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-06
5,"Chicken - Breast, Raw, 120 g",132,0  0,1  7,37  93,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-06
6,"K&K Breadcrumb - Breadcrumb, 15 gram",54,11  80,0  7,2  13,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-06
7,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-06
8,"Cadbury - bourneville classic dark chocolate , 12.5 gram",66,8  47,4  50,1  3,0,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-06
9,"Eggs - Whole, raw, 2 medium",129,1  2,9  63,11  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-06
10,"Halo Top - Strawberry Cheesecake, 1 container (2 cups ea.)",360,40  46,12  31,20  23,32,12,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-06
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
1,"Flora Light - New, 10 g",28,0  4,3  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
2,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
3,"The Cheese Emporium - Mature Lighter Cheese, 15 g",48,0  3,3  63,4  34,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
4,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
5,"Cadbury - bourneville classic dark chocolate , 12.5 gram",66,8  47,4  50,1  3,0,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
6,"Maris Piper - Potato, Raw, 350 gm",252,60  89,0  1,6  10,0,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
7,"breast mince, 200 serving(s)",161,7  17,2  9,29  74,2,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
8,"panko chicken (frozen weight), 200 serving(s)",234,13  24,2  9,37  67,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
9,"Cadbury - bourneville classic dark chocolate , 12.5 gram",66,8  47,4  50,1  3,0,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
10,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
11,"Flora Light - New, 10 g",28,0  4,3  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
12,"Mcvities - Baked Cheddars Crispy Bacon Flavour (40 Bics, 150g), 6 biscuit",120,11  38,7  54,2  8,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
13,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
14,"four seasons - four berry medley, 200 gram",75,11  71,1  18,2  11,11,10,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-07
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-08
1,"Cadbury - bourneville classic dark chocolate , 37.5 gram",198,23  47,11  50,2  3,0,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-08
2,"breast mince, 200 serving(s)",161,7  17,2  9,29  74,2,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-08
3,"Apples - Raw, with skin, 200 g",104,28  96,0  3,1  1,21,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-08
4,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-08
5,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-08
6,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-08
7,"panko chicken (frozen weight), 200 serving(s)",234,13  24,2  9,37  67,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-08
8,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-08
9,"Banana - Bananas, 170 g",151,34  92,1  3,2  5,20,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-08
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 200 g",104,28  96,0  3,1  1,21,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
1,"Kroger - Rice Cake, 6 cake",240,48  79,3  11,6  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
2,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
3,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
4,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
5,"breast mince, 300 serving(s)",242,10  17,2  9,44  74,4,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
6,"panko chicken (frozen weight), 300 serving(s)",351,20  24,3  9,56  67,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
7,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
8,"Warburton - Wholemeal Medium (400g), 1 slice",55,9  69,1  12,3  19,1,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
9,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
10,"Kroger - Rice Cake, 3 cake",120,24  79,2  11,3  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
11,"Philadelphia - Light (19% Fat), 40 g",60,2  14,4  67,3  19,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-09
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-10
1,"breast mince, 340 serving(s)",274,11  17,3  9,50  74,4,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-10
2,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-10
3,"Kroger - Rice Cake, 3 cake",120,24  79,2  11,3  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-10
4,"Philadelphia - Light (19% Fat), 40 g",60,2  14,4  67,3  19,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-10
5,"panko chicken (frozen weight), 300 serving(s)",351,20  24,3  9,56  67,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-10
6,"Eazy Pop - Popcorn - Salted, 1 bag cooked (100g)",421,50  48,21  45,8  7,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-10
7,"Kroger - Rice Cake, 8 cake",320,64  79,4  11,8  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-10
8,"Mcvities - Baked Cheddars Crispy Bacon Flavour (40 Bics, 150g), 6 biscuit",120,11  38,7  54,2  8,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-10
9,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-10
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 200 g",104,28  96,0  3,1  1,21,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-11
1,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-11
2,"Mcvities - Baked Cheddars Crispy Bacon Flavour (40 Bics, 150g), 6 biscuit",120,11  38,7  54,2  8,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-11
3,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-11
4,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-11
5,"breast mince, 350 serving(s)",282,12  17,3  9,51  74,4,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-11
6,"panko chicken (frozen weight), 200 serving(s)",234,13  24,2  9,37  67,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-11
7,"umar - kebabs, 100 g",183,7  15,12  57,13  28,0,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-11
8,"Warburton - Wholemeal Medium (400g), 4 slice",220,36  69,3  12,10  19,2,6,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-11
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Mcvities - Baked Cheddars Crispy Bacon Flavour (40 Bics, 150g), 12 biscuit",240,23  38,14  54,5  8,2,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
1,"Apples - Raw, with skin, 200 g",104,28  96,0  3,1  1,21,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
2,"Warburton - Wholemeal Medium (400g), 5 slice",275,45  69,4  12,13  19,3,8,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
3,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
4,"Eggs - Whole, raw, 4 medium",259,1  2,17  63,22  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
5,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
6,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
7,"Smoked Salmon - Norwegian Smoked Salmon, 100 g",150,0  0,8  49,19  51,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
8,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
9,"Cofresh - Hot Chilli Crinkles, 80 gram",354,58  65,12  30,4  5,0,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
10,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
11,"Jam - Jam (10g), 30 g",72,18  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
12,"Kroger - Rice Cake, 6 cake",240,48  79,3  11,6  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-12
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Hovis - 50/50 Bread, 4 slice",364,64  75,2  6,16  19,6,8,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-13
1,"Jam - Jam (10g), 20 g",48,12  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-13
2,"Eggs - Whole, raw, 4 medium",259,1  2,17  63,22  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-13
3,"breast mince, 500 serving(s)",317,17  21,3  9,54  70,6,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-13
4,"Jam - Jam (10g), 20 g",48,12  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-13
5,"Kroger - Rice Cake, 6 cake",240,48  79,3  11,6  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-13
6,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-13
7,"Cadbury - bourneville classic dark chocolate , 50 gram",264,30  47,14  50,2  3,0,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-13
8,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-13
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Hovis - 50/50 Bread, 4 slice",364,64  75,2  6,16  19,6,8,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-14
1,"Jam - Jam (10g), 20 g",48,12  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-14
2,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-14
3,"Philadelphia - Light (19% Fat), 40 g",60,2  14,4  67,3  19,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-14
4,"Chicken - Breast, Raw, 180 g",198,0  0,2  7,56  93,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-14
5,"Onion - Onion, 200 grams",80,18  87,0  2,2  11,8,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-14
6,"Cadbury - bourneville classic dark chocolate , 37.5 gram",198,23  47,11  50,2  3,0,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-14
7,"Apples - Raw, with skin, 200 g",104,28  96,0  3,1  1,21,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-14
8,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-14
9,"Cofresh - Hot Chilli Crinkles, 80 gram",354,58  65,12  30,4  5,0,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-14
10,"breast mince, 200 serving(s)",127,7  21,1  9,22  70,3,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-14
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 300 g",156,41  96,1  3,1  1,31,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-15
1,"breast mince, 300 serving(s)",190,10  21,2  9,33  70,4,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-15
2,"Jam - Jam (10g), 20 g",48,12  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-15
3,"Philadelphia - Light (19% Fat), 40 g",60,2  14,4  67,3  19,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-15
4,"Kroger - Rice Cake, 4 cake",160,32  79,2  11,4  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-15
5,"panko chicken (frozen weight), 300 serving(s)",409,25  25,6  13,60  62,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-15
6,"Eggs - Whole, raw, 2 medium",129,1  2,9  63,11  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-15
7,"My Protein - Impact Whey Salted Caramel, 50 g",202,2  5,4  16,40  79,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-15
8,"Hovis - 50/50 Bread, 4 slice",364,64  75,2  6,16  19,6,8,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-15
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 300 g",156,41  96,1  3,1  1,31,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-16
1,"breast mince, 300 serving(s)",190,10  21,2  9,33  70,4,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-16
2,"Jam - Jam (10g), 20 g",48,12  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-16
3,"Philadelphia - Light (19% Fat), 40 g",60,2  14,4  67,3  19,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-16
4,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-16
5,"Kroger - Rice Cake, 3 cake",120,24  79,2  11,3  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-16
6,"panko chicken (frozen weight), 300 serving(s)",409,25  25,6  13,60  62,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-16
7,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-16
8,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-16
9,"Sunpat - Smooth Peanut Butter 454grams, 15 g",91,2  10,7  73,4  17,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-16
10,"Kroger - Rice Cake, 2 cake",80,16  79,1  11,2  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-16
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 300 g",156,41  96,1  3,1  1,31,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-17
1,"breast mince, 300 serving(s)",190,10  21,2  9,33  70,4,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-17
2,"Hovis - 50/50 Bread, 2 slice",182,32  75,1  6,8  19,3,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-17
3,"panko chicken (frozen weight), 300 serving(s)",409,25  25,6  13,60  62,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-17
4,"Cereals - Oats, instant, fortified, plain, dry (instant oatmeal), 40 g",148,26  69,2  15,6  16,0,4,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-17
5,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-17
6,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-17
7,"Halo Top - Strawberry Cheesecake, 1 container (2 cups ea.)",360,40  46,12  31,20  23,32,12,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-17
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 300 g",156,41  96,1  3,1  1,31,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-18
1,"breast mince, 300 serving(s)",190,10  21,2  9,33  70,4,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-18
2,"Kroger - Rice Cake, 6 cake",240,48  79,3  11,6  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-18
3,"Philadelphia - Light (19% Fat), 40 g",60,2  14,4  67,3  19,2,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-18
4,"Jam - Jam (10g), 20 g",48,12  100,0  0,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-18
5,"Eggs - Whole, raw, 2 medium",129,1  2,9  63,11  35,1,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-18
6,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-18
7,"Flora Light - New, 20 g",56,1  4,6  96,0  0,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-18
8,"Kroger - Rice Cake, 3 cake",120,24  79,2  11,3  10,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-18
9,"panko chicken (frozen weight), 300 serving(s)",409,25  25,6  13,60  62,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-18
10,"Halo Top - Strawberry Cheesecake, 1 container (2 cups ea.)",360,40  46,12  31,20  23,32,12,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-18
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Apples - Raw, with skin, 300 g",156,41  96,1  3,1  1,31,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-19
1,"breast mince, 300 serving(s)",190,10  21,2  9,33  70,4,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-19
2,"Maris Piper - Potato, Raw, 600 gm",432,102  89,1  1,11  10,0,7,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-19
3,"Costco - Chicken Thigh Skinless Boneless, 380 gram",436,0  0,15  32,74  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-19
4,"Vanilla Cake - Cake, 1.5 slice",300,60  52,23  44,5  4,48,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-19
5,"Cadbury - bourneville classic dark chocolate , 75 gram",396,45  47,21  50,3  3,0,5,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-19
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Hovis - 50/50 Bread, 4 slice",364,64  75,2  6,16  19,6,8,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-20
1,"The Cheese Emporium - Mature Lighter Cheese, 60 g",192,1  3,13  63,17  34,1,1,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-20
2,"Kind - Almond Bar, 1 bar",190,15  29,12  52,10  19,8,3,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-20
3,"Costco - Chicken Thigh Skinless Boneless, 400 gram",459,0  0,16  32,78  68,0,0,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-20
4,"indi grand - Garlic & Coriander Naan Bread, 80 gram",204,38  76,3  12,6  12,0,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-20
5,"Galaxy Cookie - Cookie, 69 g",315,45  57,13  37,4  6,32,2,Your Daily Goal,1800,180  40,50  25,158  35,99,38,2021-02-20
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
